procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
KENYA NATIONAL HIGHWAYS AUTHORITY,Kenha/1192/2015,"Management, Operation And Maintenance Of Gilgil Weighbridges Stations And The 769Km Adjacent Road Network",M/s SGS Kenya. Ltd,"519,586,435.60",Open tender,9/10/2015,11/5/2015,12/11/2015,12/31/2018,0,4,104
KENYA NATIONAL HIGHWAYS AUTHORITY,Kenha/1193/2015,"Management, Operation And Maintenance Of Athi River, Juja & Isinya Weighbridge Stations And The 1053Km Adjacent Road Network",M/s SGS Kenya. Ltd,"702,111,664.74",Open tender,9/10/2015,11/5/2015,12/8/2015,12/31/2018,0,4,104
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/11/2015/16,"Supply and delivery of Agro chemicals(Herbicides, fungicides and insectcides)",ELGON KENYA LTD,"115,484,366.00",Open tender,11/19/2015,1/19/2016,2/22/2016,11/30/2016,8,8,104
KENYA NATIONAL HIGHWAYS AUTHORITY,Kenha/1194/2015,"Management, Operation And Maintenance Of Mariakani & Mtwapa Weighbridge Stations And The 571 Km Adjacent Road Network",M/s SGS Kenya. Ltd,"568,442,496.30",Open tender,9/10/2015,11/5/2015,12/11/2015,12/31/2018,0,4,104
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/11/2015/16,"Supply and delivery of Agro chemicals(Herbicides, Fungicides and insectcides)",Twiga chemical Industries Ltd,"45,405,190.00",Open tender,11/19/2015,1/19/2016,2/22/2016,11/30/2016,8,8,104
KENYA NATIONAL HIGHWAYS AUTHORITY,Kenha/1202/2015,Improvement Of Bambo – Rhamu (B9) Road,M/s Halane Construction Company Ltd,"634,777,130.24",Open tender,10/23/2015,12/2/2015,12/22/2015,7/20/2017,12,14,104
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/11/2015/16,Supply and delivery of Agro chemicals(Glyphosate),Hangzhou Agro Chemical Industries,"8,255,250.00",Open tender,11/19/2015,1/19/2016,2/22/2016,6/30/2016,8,8,104
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/11/2015/16,"Supply and delivery of Agro chemicals(Herbicides, Fungicides and insectcides)",Greenlife Crop Protection Ltd,"7,687,420.00",Open tender,11/19/2015,1/19/2016,2/22/2016,11/30/2016,8,8,104
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/12/2015/16,Supply and delivery of a Tractor-125HP,Multiline motors ltd,"7,200,000.00",Open tender,11/19/2016,1/19/2016,2/22/2016,3/30/2016,6,6,104
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/13/2015/16,Supply and delivery of animal feeds raw materials(Framework Agreement),Modern Wizzard Investment,"44,426,661.00",Open tender,11/19/2015,1/19/2016,2/22/2016,12/31/2016,8,8,104
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/014/2015 – 2016,"Construction of elevated steel tank 50m, Construction of Shallow wells, Construction of pump house, water kiosk, VIP latrine, fencing and pipe laying",Allan Magan Construction co.,"12,676,712.60",Open tender,10/1/2015,12/4/2015,12/23/2015,5/31/2016,11,11,104
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/020/2015 – 2016,"Site Clearance, Excavation of a 20,000 m3 water pan, construction and compaction of emberkment, construction of silt trap, Rip Raps, construction of inflow , outlet channels and fencing.",Kajaja Construction co. Ltd,"7,453,750.00",Restricted Tender,11/10/2015,12/3/2015,12/23/2015,3/31/2016,10,5,104
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/011/2015 – 2016,"Drilling and Equipping of ASAL borehole, Construction of rising main, Distribution system, 150m5 eleveted steel tank and construction of water kiosk",Lake Shore Construction & Civil Work Ltd,"23,604,238.00",Open tender,9/15/2015,12/22/2015,1/13/2016,6/30/2016,5,5,104
NORTHERN WATER SERVICES BOARD,NWSB/T/CW/011/2015 – 2016,"Drilling and Equipping of Ademasajjida borehole, Construction of rising main, Distribution system, 150m5 eleveted steel tank and construction of water kiosk",Alqamar Building & Construction Ltd,"23,459,603.89",Open tender,9/15/2015,12/22/2016,1/13/2016,6/30/2016,3,3,104
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/CHEM/03/2015-2016,"Supply & Delivery of 1,000,000 Aluminium Phosphide Tablets with 57% Active Ingredients",CHEMRAW E.A LTD,"7,000,000.00",Open tender,10/5/2015,10/30/2015,11/18/2015,1/18/2016,7,7,104
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/JUTE/05/2015-2016,"Supply & Delivery of 1,000,000 New B-Twill Standard Jutes Bags x 50Kgs",GREENLAND SUPPLIERS LTD,"170,000,000.00",Open tender,10/12/2015,11/12/2015,12/4/2015,1/20/2016,7,12,105
EGERTON UNIVERSITY,EU-ONT-40-2014/2015,PURCHASE OF DESKTOP COMPUTERS,KIRWAN LTD,"10,920,000.00",Open tender,1/14/2015,3/25/2015,12/14/2015,1/14/2016,14,14,105
LAPSSET CORRIDOR DEVELOPMENT AUTHORITY (LCDA),LCDA/SEA/01/2015-16,CONSULTANCY SERVICES IN STRATEGIC ENVIRONMENTAL ASSESSMENT (SEA) FOR THE LAPSSET INFRASTRUCTURE CORRIDOR,REPCON ASSOCIATES,"80,738,320.00",Open tender,8/13/2015,12/22/2015,1/28/2016,8/1/2016,13,13,105
EGERTON UNIVERSITY,EU/07/2015-2017,PROVISION OF SECURITY SERVICES,BONARYS SECURITY SERVICES LTD,"63,690,000.00",Open tender,9/8/2015,10/22/2015,11/18/2015,6/30/2017,14,14,105
KENYA MEDICAL RESEARCH INSTITUTE,MIN 14/15/CTC/2015(b),supply of PCR istrument (QPCR),MS Africa Biosystems Ltd,"9,446,526.00",Open tender,9/18/2015,10/7/2015,10/29/2015,10/30/2015,12,12,105
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT6/2013-2015 Call down 1,"SUPPLY OF NON-PHARMACEUTICALS (SURGICAL DRESSINGS,PLASTERS &TAPES)",Interten Bussiness Supplies,"11,302,060.00",Open tender,12/18/2016,8/14/2015,9/1/2015,10/27/2015,154,72,105
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT5/2013-2015 Call down 1,"SUPPLY OF NON-PHARMACEUTICALS(CATHETERS,GLOVES,URINE BAGS,MATERNITY SUPPLIES &GIVING SETS)",CROWN HEALTHCARE LTD,"52,509,023.60",Open tender,12/18/2013,8/25/2015,8/28/2015,10/23/2015,154,72,105
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT7/2013-2015 Call down 4,SUPPLY OF NON-PHARMACEUTICALS,ANOCMA ENTERPRISES LTD,"6,451,090.80",Open tender,12/18/2015,11/2/2015,11/20/2015,1/15/2015,129,70,105
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT5/2013-2015 Call down 2,"SUPPLY OP NON-PHARMACEUTICALS (CATHETERS,GLOVES,URINE BAGS,MATERNITY SUPPLIES&GIVING SETS)",Flambert Holdidngds Ltd,"12,751,833.60",Open tender,12/18/2013,9/10/2015,11/12/2013,1/7/2016,154,72,105
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT6/2013-2015 Call down 4,Supply of Non-Pharmaceuticals,Nairobi Enterprises ltd,"5,875,200.00",Open tender,12/18/2016,8/14/2016,9/2/2015,10/28/2015,114,72,105
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT6/2013-2015 Call down 4,Supply of Non Pharmaceuticals,Alpha Medical Manufacturers ltd,"5,955,984.00",Open tender,12/18/2013,9/10/2015,11/4/2015,1/27/2016,114,72,105
TANA AND ATHI RIVERS DEVELOPMENT AUTHORITY (TARDA),TARDA/RT/076/2015-2016,Tana Delta Irrigation Project (TDIP)-Ploughing first and second harrow,Garsen Heavy Works,"5,700,000.00",Restricted Tender,1/25/2016,2/2/2016,2/5/2016,4/5/2016,12,7,105
KENYA TRADE NETWORK AGENCY,KTNA/03/2015-2016,PROCUREMENT OF STAFF MEDICAL COVER,UAP INSURANCE COMPANY LTD,"9,072,338.00",Open tender,11/16/2015,12/18/2015,12/21/2015,12/21/2017,0,8,105
KENYA TRADE NETWORK AGENCY,KTNA/08/2014-2015,"SUPPLY, INSTALLATION AND COMMISSIONING OF SERVER ROOM EQUIPMENT",M/S SAURUS NETWORKS.,"18,493,798.00",Open tender,1/9/2015,3/26/2015,4/20/2015,7/20/2015,0,14,105
KENYA NATIONAL HIGHWAYS AUTHORITY,Kenha/2017/2015,Provision Of Private Security At Kenha Headquarter And Ten (10) Regional Offices,M/s Total Security Surveillance Ltd,"8,184,960.00",Open tender,12/10/2015,1/7/2016,1/15/2016,6/15/2017,0,9,105
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/2017/2015,Provision Of Private Security At Kenha Headquarter And Ten (10) Regional Offices,M/s Mocam Security Services Ltd,"19,742,040.00",Open tender,12/10/2015,1/7/2016,1/26/2016,6/26/2017,0,9,105
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/2017/2015,Provision Of Private Security At Kenha Headquarter And Ten (10) Regional Offices,M/s Gillys Security & Investigations Ltd,"18,186,480.00",Open tender,12/10/2015,1/7/2016,1/26/2016,6/26/2017,0,9,105
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/997/2015,"Multinational Arusha – Holili/Taveta – Voi Road Corridor Development Project Phase I: Upgrading Of Mwatate – Taveta (A23) Road Section: 
Provision Of Consultancy Services For Stis/Hiv & Aids Prevention And Gender Interventions",M/s Nope International Institute,"21,705,500.00",Open tender,12/19/2013,1/6/2016,1/27/2016,6/27/2018,6,3,105
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA2/ST/32-PIT/14/15,PROPOSED REINFORCEMENT OF MATASIA MAGADI 66KV LINES BETWEEN OLETEPESI & MAGADI TENDER NO.  KP1/9AA2/ST/32-PIT/14/15,M/s Mercedario Contractors Ltd,"11,275,200.00",Restricted Tender,11/22/2015,1/12/2016,1/26/2016,12/20/2018,7,5,105
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA2/ST/30 -PIT/14/15,PROPOSED REINFORCEMENT OF MATASIA MAGADI 66KV LINES BETWEEN EMBAKASI & INTERNATIONAL SCHOOL &  TENDER NO.  KP1/9AA2/ST/30 -PIT/14/15,M/s AGAMU CONTRACTORS & GEN. SUPPLIES LTD,"10,672,000.00",Restricted Tender,11/22/2015,1/12/2016,1/26/2016,12/19/2018,7,5,105
KENYA POWER AND LIGHTING COMPANY LTD,KP1/9AA2/ST/31-PIT/14/15,PROPOSED REINFORCEMENT OF MATASIA MAGADI 66KV LINES BETWEEN INTERNATIONAL SCHOOL & NKOROI TENDER NO.  KP1/9AA2/ST/31-PIT/14/15,M/s ACE ELECTRICALS & CONTROL LTD,"10,672,000.00",Restricted Tender,11/22/2015,1/12/2016,1/26/2016,12/19/2018,7,3,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT1/2014-2016 Call down 6,Supply of pharmaceuticals (Injectables/Infusions),Laboratory & Allied Ltd,"9,547,807.45",Open tender,12/18/2013,1/15/2016,2/12/2016,4/15/2016,64,33,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-ONT1/2014-2015,"Supply,Delivery,Installation and Commissioning of Diesel fired Incinerators",Med Africa Ltd,"45,124,800.00",Open tender,2/9/2015,12/17/2015,1/29/2016,2/26/2016,39,24,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT4/2013-2015,Supply of pharmaceuticals (Topical Preparation Disinfectant/Antiseptics),Synerchemie Ltd,"9,795,225.00",Open tender,12/18/2013,1/15/2016,2/5/2016,4/1/2015,59,24,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT3/2013-2015,Supply of pharmaceuticals (Suspensions/Syrups),Laboratory & Allied Ltd,"33,275,017.60",Open tender,12/18/2013,1/15/2016,2/2/2015,4/15/2016,43,19,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT2/2013-2015 Call down 6,Supply of Pharmaceuticals (Tablets &Capsules),Biodeal Laboratories Ltd,"5,332,100.00",Open tender,12/18/2013,1/15/2016,2/2/2016,4/19/2016,43,19,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-ONT2/2014-2016,Supply of Non-Pharmaceuticals Polythene bags /Dust bin liners),Jimad Company,"28,545,630.00",Open tender,9/24/2015,1/15/2016,1/26/2016,4/19/2016,64,48,106
SOUTH EASTERN KENYA UNIVERSITY,SEKU/PROC/ONT/011/2015/2016,Construction  of  Cabro Paving to Graduation Paving.,Charwins Ltd,"7,817,283.90",Open tender,10/7/2015,12/18/2015,1/15/2016,4/15/2016,19,12,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT1/2015-2016,Supply of Pharmaceuticals,Unisel Pharma (K) Ltd,"20,007,198.00",Open tender,9/24/2015,11/25/2015,12/28/2015,3/10/2016,28,20,106
SOUTH EASTERN KENYA UNIVERSITY,SEKU/PROC/ONT/013/2015/2016,"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF A 150 KVA GENERATOR IN TUITION AND OFFICE BLOCK II",Philafe Engineering Ltd,"5,142,248.92",Open tender,10/7/2015,12/18/2015,3/1/2016,5/31/2016,11,11,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSART4/2015-2016,Supply of Non-Pharmaceuticals,Kenruss Medics Ltd,"31,108,669.92",Open tender,9/22/2015,12/7/2015,12/29/2015,4/14/2016,26,19,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-ONT1/2014-2015,"Supply,Installation and Commissioning of Diesel fired Incinerators",Plenser Ltd,"60,945,762.00",Open tender,2/9/2015,12/17/2015,12/31/2015,1/31/2015,39,24,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT1/2013-2015 Call down 6,Supply of Pharmaceuticals (Injectables /Infusions),Medisel (K) Ltd,"13,569,703.62",Open tender,7/21/2014,1/15/2016,2/4/2016,3/31/2016,64,33,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT7 2014-2015 Call down 1,Supply of Pharmaceuticals,Surgilinks Ltd,"5,817,593.66",Open tender,3/23/2015,1/15/2016,2/10/2016,4/19/2016,51,27,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-ONT1/2013-2015 Call down 5,Supply of Pharmaceuticals (Injectables /Infusions),Highridge Pharmaceuticals Ltd,"18,782,076.00",Open tender,7/21/2014,1/15/2016,2/10/2016,4/14/2016,64,33,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-ONT2/2014-2016 C all down 1,Supply of Non-Pharmaceuticals Polythene bags /Bin Liners,Apex General supplies,"19,445,000.00",Open tender,4/23/2014,1/15/2016,2/10/2016,4/14/2016,64,48,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT1/2015-2016 Call down 1,Supply of pharmaceuticals,Unisel Pharma (K) Ltd,"20,646,330.00",Open tender,9/28/2015,1/15/2016,2/10/2016,4/13/2016,28,20,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT1/2015-2016 Call down 1,Supply of pharmaceuticals,surgipharm Ltd,"12,578,130.00",Open tender,9/28/2015,1/15/2016,2/8/2016,4/4/2016,28,20,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT2/2013-2015 Call down 4,Supply of pharmaceuticals (Tablets & Capsules),Harleys Ltd,"9,005,161.80",Open tender,12/18/2013,1/15/2016,2/15/2016,4/18/2016,60,31,106
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT1/2013-2015 Call down 3,Supply of pharmaceuticals (Injectable &Infusions),Surgilinks Ltd,"33,785,854.74",Open tender,12/18/2013,1/15/2016,2/10/2016,4/19/2016,28,20,106
NATIONAL HOSPITAL INSURANCE FUND,NHIF/011/2015-2016,"Contract for Supply and Delivery of Desktop Computers and Scanners

Desktop Computers - Qty 300

Scanners  - Qty 100",Waterfront General Supplies Limited,"56,000,000.00",Restricted Tender,10/26/2015,12/9/2015,2/29/2016,5/15/2016,0,13,107
NATIONAL HOSPITAL INSURANCE FUND,NHIF/013/2015-2016,Provision of Cleaning Services of Common User Areas at NHIF Building,Stelarizar General Contractors Limited,"6,333,600.00",Restricted Tender,10/26/2015,11/30/2015,2/29/2016,12/31/2017,0,13,107
NATIONAL HOSPITAL INSURANCE FUND,NHIF/007/2016-2016,Contract for Renovation and Refurbishment of NHIF Ruaraka Branch Office,Amasho Contractors Limited,"7,800,536.00",Restricted Tender,10/29/2015,11/25/2015,2/24/2016,4/30/2016,10,6,107
NATIONAL HOSPITAL INSURANCE FUND,NHIF/009/2015-2016,Contract for Renovation and Refurbishment of NHIF Kericho Branch Office,Taflos Company Ltd,"9,937,603.00",Request for proposals,10/29/2015,11/25/2015,2/24/2016,4/30/2016,11,6,107
NATIONAL HOSPITAL INSURANCE FUND,NHIF/002/2016-2016,Contract for Supply and Delivery of YMCKOK Ribbons and Other Consumables,Selex International Limited,"64,914,000.00",Open tender,8/6/2015,9/9/2015,11/10/2015,4/30/2015,16,14,107
NATIONAL HOSPITAL INSURANCE FUND,NHIF/012/2013-2014,Renewal of Contract for Provision of Emergency Air Rescue Services for Civil Servants and Disciplined Service Officers,AMREF Flying Doctors,"156,364,160.00",Expression of Interest,9/25/2013,9/24/2015,2/29/2016,6/30/2016,0,1,107
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT2/2013-2015 Call down 4,Supply of Pharmaceuticals(Tablets & Capsules),Elys Chemicals Industries Ltd,"27,378,616.62",Open tender,12/18/2013,1/15/2016,1/27/2016,4/20/2016,60,31,107
KENYA ROADS BOARD,KRB/729/2015/2016,"CONSULTANCY SERVICES FOR TECHNICAL, PERFORMANCE & FINANCIAL AUDIT NAIROBI AND COAST REGION",APEC CONSORTIUM LTD IN ASSOCIATION WITH KRESTON,"70,809,407.42",Request for proposals,5/6/2015,1/6/2016,2/29/2016,3/1/2018,51,42,107
KENYA ROADS BOARD,KRB/729/2015/2016,"CONSULTANCY SERVICES FOR TECHNICAL, PERFORMANCE & FINANCIAL AUDIT IN EASTERN REGION",KIRI CONSULT LTD IN ASSOCIATION WITH MUGO WAWERU AND ASSOCIATES,"96,940,782.40",Request for proposals,5/6/2015,1/6/2016,2/29/2016,3/1/2018,51,42,107
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-RT 2/2013-2015 Call down 3,"Supply of Pharmaceuticals(Insulin,Isophane,Human inj.30/70 IU/ML)",Philips Pharmaceuticals Ltd,"16,436,970.54",Open tender,3/27/2014,1/15/2016,1/26/2016,4/26/2016,5,3,107
KENYA ROADS BOARD,KRB/729/2015/2016,"CONSULTANCY SERVICES FOR TECHNICAL, PERFORMANCE & FINANCIAL AUDIT FOR CENTRAL AND NORTH EASTERN REGION",NATCONSULT CONSULTING ENGINEERS IN ASSOCIATION WITH MATHENGE AND COMPANY,"84,741,711.80",Request for proposals,5/6/2015,1/6/2016,2/29/2016,3/1/2018,51,42,107
KENYA ROADS BOARD,KRB/729/2015/2016,"CONSULTANCY SERVICES FOR TECHNICAL, PERFORMANCE & FINANCIAL AUDIT IN SOUTH RIFT REGION",FRINCONSULT LTD IN ASSOCIATION WITH KAGO KAGWI AND ASSOCIATES,"62,561,004.00",Request for proposals,5/6/2015,1/6/2016,2/29/2016,3/1/2018,51,42,107
KENYA ROADS BOARD,KRB/729/2015/2016,"CONSULTANCY SERVICES FOR TECHNICAL, PERFORMANCE & FINANCIAL AUDIT IN NORTH RIFT REGION",WANJOHI MUTONYI CONSULT LTD IN ASSOCIATION WITH PETER GITHAE AND ASSOCIATES,"71,761,602.00",Request for proposals,5/6/2015,1/6/2016,2/29/2016,3/1/2016,51,42,107
KENYA MEDICAL SUPPLIES AUTHORITY,KEMSA-OIT7 2014-2015 Call down 1,Supply of Pharmaceuticals,Medivet Products Ltd,"9,495,519.66",Open tender,3/23/2015,1/15/2016,2/11/2016,4/14/2016,51,27,107
KENYA ROADS BOARD,KRB/729/2015/2016,"CONSULTANCY SERVICES FOR TECHNICAL, PERFORMANCE & FINANCIAL AUDIT IN NYANZA REGION",KINCONSULT ASSOCIATES IN ASSOCIATION WITH DELOITTE AND TOUCHE,"79,753,828.00",Request for proposals,5/6/2015,1/6/2016,2/29/2016,3/1/2018,51,42,107
KENYA ROADS BOARD,KRB/729/2015/2016,"CONSULTANCY SERVICES FOR TECHNICAL, PERFORMANCE & FINANCIAL AUDIT IN WESTERN REGION",BATCH ASSOCIATES LTD TERTIARY CONSULTING ENGINEERS LTD IN ASSOCIATION WITH NJOROGE KIBEBE AND ASSOCIATES,"57,647,249.22",Request for proposals,5/6/2015,1/6/2016,2/29/2016,3/29/2018,51,42,107
KENYA ROADS BOARD,-,PUBLISHING OF ANNUAL PUBLIC ROADS PROGRAMME,NATION MEDIA GROUP,"6,290,000.00",Restricted Tender,12/1/2015,12/6/2015,12/7/2015,12/30/2015,3,3,107
KENYA ROADS BOARD,-,PUBLISHING OF ANNUAL PUBLIC ROADS PROGRMME,THE STANDARD GROUP,"5,863,104.00",Restricted Tender,12/1/2015,12/6/2015,12/7/2015,12/30/2015,3,3,107
NATIONAL IRRIGATION BOARD,NIB/T/003/2015-2016,"Tender for Supply, Delivery, Installation, Testing, Commissioning and Maintenance of 1 No. Irrigation Pump and associated Civil Works at Ahero Irrigation Scheme, Kisumu County","Enegi Limited P.O. Box 74730-00200 Nairobi, Kenya","41,947,096.40",Open tender,8/25/2015,1/14/2016,2/25/2016,8/25/2016,5,5,107
NATIONAL IRRIGATION BOARD,NIB/T/009/2015-2016,"Tender for Supply, Delivery, Installation, Testing, Commissioning and Maintenance of 85 KVA Generator at NIB Head Office, Nairobi, Kenya","Powerpoint Systems (East Africa) Ltd, DRS  House, Lusaka Road, P.O. Box 6321-00200 Nairobi, Kenya","6,709,708.00",Open tender,8/25/2015,10/6/2015,10/28/2015,12/26/2015,14,14,107
MALINDI WATER AND SEWERAGE COMPANY LIMITED,UBSUP1/1/2016,Construction of Decentralized Treatment Facility.,Jumbo Interlinks Limited,"8,135,253.90",Open tender,1/18/2016,2/16/2016,3/9/2016,3/9/2016,6,2,108
NITHI WATER AND SANITATION COMPANY LTD,NIWASCO/WSTF/07/01/2015/16,"-CONSTRUCTION OF 1no. 1000m3  REINFORCED CONCRETE WATER TANK
-EXCAVATION AND PIPELAYING OF 7km PIPELINE NETWORK WITH ACCOMPANY STRUCTURES
-CONSTRUCTION OF 3no. WSTF STANDARD YARD TAPS",FAIRHEADS CONSTRUCTION LIMITED,"13,267,000.00",Open tender,1/7/2016,1/29/2016,2/18/2016,5/31/2016,16,11,108
NITHI WATER AND SANITATION COMPANY LTD,NIWASCO/WSTF/UBSUP/01/01/2015/16,-CONSTRUCTION OF A 22m3/DAY DECENTRALIZED TREATMENT FACILITY,MBIWA CONSTRUCTION LIMITED,"7,076,009.00",Open tender,1/7/2016,1/29/2016,2/18/2016,5/31/2016,9,6,108
EXPORT PROCESSING ZONES AUTHORITY,TENDER NO. 23/2014-2015,Provision of Security Services,M/S Bobby Guards Ltd,"11,344,800.00",Open tender,7/6/2015,8/21/2015,8/21/2015,8/21/2018,0,10,108
EXPORT PROCESSING ZONES AUTHORITY,EPZA/. RFP NO. 02/ 2015-2016,Consultancy Services for Staff Rationalization,Novatek Limited,"5,800,000.00",Open tender,9/10/2015,10/28/2015,11/10/2015,3/10/2016,0,6,108
EXPORT PROCESSING ZONES AUTHORITY,EPZA/3/2015 - 2016,"Proposed Construction of Perimeter Fencing, Gates, Guard House, Ablution Block and Civil Works at Samburu, Kwale County including Environmental Impact Assessment",Isfahan Construction Limited,"51,424,544.98",Open tender,10/6/2015,11/27/2015,2/1/2016,7/31/2016,0,30,108
KENYA REVENUE AUTHORITY,KRA/HQS/QTN/143/2014-2015,Review of Award for the Supply and Delivery of Eighty (80) Computers for Itax Project,OFFICE TECHNOLOGIES LIMITED,"6,016,000.00",Request for Quotations,10/22/2014,1/23/2015,5/23/2015,8/23/2015,0,302,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB-042/2014– 2015,"Provision of Security and Safety services for the period 1st August, 2015 to 31st July, 2018.",Radar Ltd,"146,604,000.00",Open tender,1/19/2015,7/17/2015,1/19/2016,7/31/2018,0,11,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB-042/2014– 2015,"Provision of Security and Safety services for the period 1st August, 2015 to 31st July, 2018.",Biometrics Technology,"20,280,000.00",Open tender,1/19/2015,7/17/2015,1/18/2016,7/31/2018,0,11,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB-045/2014-2015,"Provision of Consultancy Services to Design, Document and Implement Information Security Management System (ISMS)",Silensec Africa Limited,"8,879,871.00",Open tender,3/4/2015,6/26/2015,8/19/2015,12/19/2015,0,18,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB-044/2014-2015,"Supply, Delivery, Installation and Commissioning of Enterprise Risk Management Software",IT Service & Project Management Associates Limited,"57,328,986.40",Open tender,4/3/2015,11/6/2015,1/16/2016,5/15/2016,0,7,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB/042/2014-2015,Provision of Security and Safety Services,Bedrock Holdings Limited,"10,080,000.00",Open tender,1/19/2015,11/19/2015,2/19/2016,7/31/2018,0,11,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB-039/2014-2015,"Provision of Fire Safety Training Services & Fire Equipment Maintenance for a period of three (3) years starting 1st October, 2015 to 30th September, 2018.",Snow Ball (K) Ltd,"49,104,331.20",Open tender,3/16/2015,10/28/2015,3/9/2016,9/30/2018,0,6,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB/047/2014-2015,"Supply, Delivery, Installation and Commissioning of IP Telephony for Kenya Revenue Authority",Copy CAT Limited,"98,597,299.08",Open tender,4/22/2015,12/15/2015,3/19/2016,12/19/2016,0,18,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB/047/2014-2015,"Supply, Delivery, Installation and Commissioning of IP Telephony for Kenya Revenue Authority",Trans Business Machines,"30,676,831.04",Open tender,4/22/2015,12/15/2015,3/15/2016,12/14/2017,0,18,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB/001/2015-2016,"Supply, Implementation and Commissioning of an Enterprise Resource Planning Solution for KRA",Altlab Africa Limited,"632,192,600.81",Open tender,9/8/2015,2/3/2016,4/3/2016,11/20/2016,0,13,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB/002/2015-2016,"Supply, Delivery, Installation and Commissioning of an Enterprise Quality Management Solution",Intex Management Services,"9,890,160.00",Open tender,9/23/2015,11/10/2015,4/17/2016,6/19/2016,0,4,108
KENYA REVENUE AUTHORITY,KRA/SR/AUG/12/2015-2016,"Lifting of Boats from Water, Removal of Barnacles, Hull Cleaning, Servicing the Engines and carrying out of Sea Trails.",Southern Engineering Co. Ltd,"9,383,338.00",Request for Quotations,8/21/2015,2/2/2016,3/17/2016,4/19/2016,0,3,108
KENYA REVENUE AUTHORITY,KRA/HQS/ICB-004/2015-2016,"Provision of Consultancy Services for Design, Development, and Implementation of Tax Invoice Management Solution (TIMS) AND Associated Works",TATA Africa Holdings (K) Ltd,"102,099,407.89",Open tender,10/25/2015,3/1/2016,6/16/2016,6/11/2016,0,4,108
KENYA REVENUE AUTHORITY,KRA/HQS/NCB/003/2015-2016,Provision of Signage for Kenya Revenue Authority Offices and Stations,Imagine Image Limited,"59,817,200.00",Open tender,9/8/2015,3/1/2016,4/20/2016,3/1/2017,0,49,108
